"","year","artist","position","song","indicativerevenue","genre"
"2083",2020,"Mariah Carey",83,"All I Want For Christmas Is You",1648.76,"pop"
"2084",2020,"Lil Nas X",84,"Panini",1640.596,"rap"
"2085",2020,"Jimmie Allen",85,"Make Me Want To",1625.626,"country"
"2086",2020,"Lil Uzi Vert",86,"That Way",1597.94,"rap"
"2087",2020,"YoungBoy Never Broke Again",87,"Make No Sense",1574.642,"rap"
"2088",2020,"DaBaby",88,"VIBEZ",1556.202,"hip hop"
"2089",2020,"Brett Young",89,"Catch",1545.114,"country"
"2090",2020,"Jack Harlow",90,"WHATS POPPIN",1542.427,"hip hop"
"2091",2020,"SAINt JHN",91,"Roses (Imanbek Remix)",1537.347,"rap"
"2092",2020,"Jon Pardi",92,"Heartache Medication",1532.293,"country"
"2093",2020,"DaBaby & Lil Baby & Moneybagg Yo",93,"Toes",1493.72,"hip hop"
"2094",2020,"Idina Menzel & Aurora",94,"Into The Unknown",1429.724,"hollywood"
"2095",2020,"Dua Lipa",95,"Physical",1404.376,"pop"
"2096",2020,"Lil Uzi Vert",96,"Baby Pluto",1353.29,"rap"
"2097",2020,"Brenda Lee",97,"Rockin' Around The Christmas Tree",1352.593,"adult standards"
"2098",2020,"Halsey",98,"Graveyard",1351.785,"pop"
"2099",2020,"Surfaces",99,"Sunday Best",1343.876,"soul"
"2100",2020,"Roddy Ricch & Gunna",100,"Start Wit Me",1336.587,"rap"
